Name,Postcode,Latitude,Longitude
YO! London Harvey Nichols,SW1X 7RJ,51.501584,-0.159805
YO! Fulham Broadway,SW6 1BW,51.480416,-0.194515
YO! Southbank Centre Festival Hall,SE1 8XX,51.505767,-0.116825
YO! Bond Street,W1C 2AQ,51.514054,-0.147643
YO! Russell Square,WC1N 1AE,51.52418,-0.123922
YO! London Selfridges,W1A 1AB,51.514586,-0.152839
YO! St Pancras Station,N1C 4QL,51.531428,-0.126147
YO! Waterloo Station,SE1 7LY,51.503146,-0.113259
YO! Victoria Station,SW1V 1JT,51.494974,-0.144354
YO! St Paul's,EC4M 8AY,51.513354,-0.099841
YO! Finchley Road,NW3 6LU,51.547945,-0.18143
YO! Westfield Stratford,E20 1GN,51.543408,-0.006244
YO! Brent Cross,NW4 3FY,51.576416,-0.223792
YO! Kitchen Westfield White City,W12 7GF,51.508054,-0.22367
YO! Bromley,BR1 1DN,51.40389,0.016608
YO! Richmond,TW9 2NQ,51.464078,-0.301751
YO! Kingston,KT1 1TP,51.411695,-0.304749
YO! Heathrow T3,TW6 1EW,51.469777,-0.449579
YO!,TW6 1QG,51.470836,-0.458283
